Score From 04/04/19,,Team Hitting Stats from 03/28/19-04/03/19,,,,,,Ill take care of this,,,,,,,Team Bullpen Stats From 03/28/19-04/03/19,,,,,,,Defense,Ill take care of these,,,,,,
Runs,Team,BB%,K%,ISO,BABIP,wOBA,wRAA,Expected IP,WHIP,BABIP,LOB,FIP-,xFIP-,SIERA,Expected IP,WHIP,BABIP,LOB%,FIP-,xFIP-,SIERA,DEF,Temp,Wind,In,Out,Across,Dome,Rain
1,TOR,0.082,0.275,.166,.250,.276,-9.7,,,,,,,,,1.28,.327,0.763,78,86,3.66,0.4
0,ARI,0.061,0.184,.260,.386,.406,18.2,,,,,,,,,1.48,.333,0.759,107,109,4.03,0.2
""
Score From 04/08/19,,Team Hitting Stats from 04/01/19-04/07/19,,,,,,Ill take care of this,,,,,,,Team Bullpen Stats From 04/01/19-04/07/19,,,,,,,Defense,Ill take care of these,,,,,,
Runs,Team,BB%,K%,ISO,BABIP,wOBA,wRAA,Expected IP,WHIP,BABIP,LOB,FIP-,xFIP-,SIERA,Expected IP,WHIP,BABIP,LOB%,FIP-,xFIP-,SIERA,DEF,Temp,Wind,In,Out,Across,Dome,Rain
13,SEA,0.106,0.211,.259,.314,.381,10.5,,,,,,,,,2.21,.395,0.665,137,157,6.23,0.6
12,BAL,0.071,0.254,.124,.284,.277,-8.2,,,,,,,,,1.25,.333,0.828,65,79,3.52,0.2
5,TB,0.096,0.233,.117,.312,.299,-4.3,,,,,,,,,1.60,.292,0.676,149,105,4.19,-2.2
4,PHI,0.134,0.199,.158,.326,.332,2.1,,,,,,,,,2.00,.386,0.607,170,164,5.16,1.2
8,ATL,0.145,0.197,.180,.317,.354,6.8,,,,,,,,,1.67,.279,0.734,113,135,5.60,-0.1
4,OAK,0.089,0.179,.170,.253,.308,-2.6,,,,,,,,,2.10,.321,0.645,222,164,6.32,-2.0
6,SD,0.118,0.241,.201,.265,.319,-0.1,,,,,,,,,1.05,.269,0.708,63,105,4.52,2.8
5,LAA,0.095,0.167,.154,.247,.302,-3.5,,,,,,,,,1.38,.263,0.615,116,97,4.21,3.1
10,CHC,0.111,0.226,.184,.313,.347,5.6,,,,,,,,,UNSCHEDULED GAME,UNSCHEDULED GAME,UNSCHEDULED GAME,UNSCHEDULED GAME,UNSCHEDULED GAME,UNSCHEDULED GAME,UNSCHEDULED GAME
4,HOU,0.108,0.172,.167,.335,.354,6.9,,,,,,,,,0.93,.210,0.787,67,81,3.60,-0.7
5,KC,0.054,0.228,.181,.266,.289,-4.8,,,,,,,,,1.23,.182,0.704,121,124,5.42,-3.4
6,COL,0.09,0.271,.123,.256,.264,-10.8,,,,,,,,,1.63,.327,0.88,148,114,4.77,1.9
3,NYY,0.103,0.22,.286,.277,.374,10.8,,,,,,,,,1.02,.250,0.823,94,87,3.63,0.3
1,CWS,0.085,0.246,.162,.315,.316,-0.7,,,,,,,,,1.04,.270,0.745,71,90,3.73,0.5
3,WAS,0.152,0.268,.185,.301,.339,3.2,,,,,,,,,1.35,.318,0.755,86,101,4.00,2.0
3,LAD,0.123,0.174,.250,.311,.374,11.1,,,,,,,,,1.34,.130,0.848,175,146,5.97,2.0
4,STL,0.109,0.238,.172,.262,.303,-2.9,,,,,,,,,1.41,.313,0.62,115,112,4.39,2.2
0,PIT,0.09,0.197,.170,.308,.318,-0.4,,,,,,,,,UNSCHEDULED GAME,UNSCHEDULED GAME,UNSCHEDULED GAME,UNSCHEDULED GAME,UNSCHEDULED GAME,UNSCHEDULED GAME,UNSCHEDULED GAME
5,SF,0.047,0.225,.121,.274,.267,-9.7,,,,,,,,,1.50,.370,0.697,93,81,3.44,1.7
2,MIL,0.122,0.232,.198,.324,.348,5.7,,,,,,,,,1.01,.271,0.868,72,89,3.24,0.5
""
Score From 04/09/19,,Team Hitting Stats from 04/02/19-04/08/19,,,,,,Ill take care of this,,,,,,,Team Bullpen Stats From 04/02/19-04/08/19,,,,,,,Defense,Ill take care of these,,,,,,
Runs,Team,BB%,K%,ISO,BABIP,wOBA,wRAA,Expected IP,WHIP,BABIP,LOB,FIP-,xFIP-,SIERA,Expected IP,WHIP,BABIP,LOB%,FIP-,xFIP-,SIERA,DEF,Temp,Wind,In,Out,Across,Dome,Rain
14,CIN,0.063,0.279,.134,.192,.216,-18.7,,,,,,,,,1.17,.235,0.792,77,110,4.66,-0.1
14,MIN,0.084,0.188,.162,.309,.331,2.0,,,,,,,,,2.13,.415,0.598,139,138,5.12,0.5
10,TB,0.108,0.245,.092,.333,.299,-4.5,,,,,,,,,1.37,.273,0.811,133,95,3.82,-2.0
8,NYM,0.071,0.265,.199,.319,.330,1.8,,,,,,,,,1.40,.270,0.845,97,134,5.76,0.0
10,WAS,0.13,0.251,.195,.279,.329,1.7,,,,,,,,,1.24,.291,0.79,91,98,3.91,2.2
13,OAK,0.088,0.15,.137,.258,.302,-4.1,,,,,,,,,1.86,.291,0.694,193,151,6.09,-2.0
11,LAA,0.116,0.157,.203,.218,.321,0.3,,,,,,,,,1.55,.245,0.609,149,117,4.89,2.9
6,HOU,0.109,0.183,.165,.340,.354,6.7,,,,,,,,,1.16,.281,0.691,63,69,3.15,-0.9
8,MIL,0.109,0.243,.197,.293,.332,2.4,,,,,,,,,0.77,.245,0.86,53,83,2.96,0.5
8,CLE,0.093,0.302,.111,.270,.250,-10.5,,,,,,,,,0.81,.147,1.0,116,91,3.58,-1.3
6,SEA,0.093,0.22,.315,.322,.407,15.4,,,,,,,,,2.22,.386,0.646,158,156,6.02,0.8
5,ARI,0.058,0.216,.260,.341,.370,8.3,,,,,,,,,1.19,.258,0.866,104,104,4.49,-0.7
7,ATL,0.142,0.193,.161,.301,.337,3.5,,,,,,,,,1.56,.264,0.734,108,131,5.49,0.1
6,PHI,0.123,0.199,.176,.322,.339,3.9,,,,,,,,,1.91,.365,0.642,171,158,5.05,1.4
4,STL,0.088,0.193,.179,.236,.287,-5.1,,,,,,,,,1.19,.261,0.634,103,113,4.65,2.2
7,TOR,0.095,0.313,.138,.256,.261,-10.7,,,,,,,,,1.12,.274,0.734,88,94,3.92,0.4
0,LAD,0.126,0.16,.232,.305,.370,10.3,,,,,,,,,1.42,.133,0.79,175,150,6.31,2.0
5,BOS,0.084,0.2,.129,.288,.289,-6.1,,,,,,,,,1.15,.214,0.64,86,97,4.23,-1.2
3,KC,0.058,0.227,.159,.283,.291,-5.6,,,,,,,,,1.38,.261,0.676,101,102,4.68,-3.5
7,SF,0.065,0.234,.108,.255,.256,-11.9,,,,,,,,,1.46,.362,0.821,100,79,3.26,1.7
5,CWS,0.066,0.249,.158,.352,.326,1.1,,,,,,,,,1.13,.286,0.744,76,92,3.91,0.6
2,SD,0.117,0.234,.230,.259,.336,3.2,,,,,,,,,1.19,.288,0.732,80,104,4.54,2.5
4,TEX,0.095,0.286,.161,.333,.322,0.5,,,,,,,,,1.93,.333,0.701,161,111,5.11,2.5
3,NYY,0.097,0.215,.263,.292,.369,10.1,,,,,,,,,1.09,.255,0.843,96,85,3.82,0.2
2,DET,0.116,0.221,.141,.284,.299,-3.3,,,,,,,,,1.07,.311,0.867,51,73,3.07,0.4
1,COL,0.098,0.241,.158,.245,.282,-7.4,,,,,,,,,1.72,.348,0.88,150,114,4.63,2.2
2,BAL,0.07,0.219,.155,.320,.312,-1.5,,,,,,,,,1.39,.342,0.682,72,91,4.07,0.1
0,MIA,0.076,0.223,.144,.298,.302,-2.9,,,,,,,,,1.73,.375,0.699,85,127,5.32,0.8
""
Score From 04/10/19,,Team Hitting Stats from 04/03/19-04/09/19,,,,,,Ill take care of this,,,,,,,Team Bullpen Stats From 04/03/19-04/09/19,,,,,,,Defense,Ill take care of these,,,,,,
Runs,Team,BB%,K%,ISO,BABIP,wOBA,wRAA,Expected IP,WHIP,BABIP,LOB,FIP-,xFIP-,SIERA,Expected IP,WHIP,BABIP,LOB%,FIP-,xFIP-,SIERA,DEF,Temp,Wind,In,Out,Across,Dome,Rain
8,HOU,0.11,0.207,.191,.340,.356,7.1,,,,,,,,,1.29,.290,0.686,69,88,3.98,-0.9
10,OAK,0.084,0.16,.150,.297,.326,1.5,,,,,,,,,1.98,.344,0.609,174,138,5.47,-2.1
9,TB,0.113,0.215,.130,.327,.323,0.7,,,,,,,,,1.50,.300,0.783,123,99,4.15,-2.5
15,WAS,0.132,0.21,.245,.280,.361,8.6,,,,,,,,,1.50,.310,0.758,114,112,4.41,2.3
7,STL,0.092,0.217,.187,.241,.291,-5.4,,,,,,,,,1.03,.232,0.726,98,111,4.39,2.2
5,KC,0.067,0.224,.137,.283,.281,-7.6,,,,,,,,,1.37,.255,0.714,101,106,4.92,-3.8
4,DET,0.117,0.2,.129,.252,.282,-5.9,,,,,,,,,0.97,.273,0.874,53,80,3.35,0.5
6,NYY,0.105,0.219,.278,.284,.374,11.1,,,,,,,,,1.04,.238,0.946,101,93,3.85,0.2
6,SEA,0.091,0.228,.301,.380,.426,20.0,,,,,,,,,2.00,.367,0.619,143,136,5.69,0.7
5,PIT,0.072,0.22,.148,.333,.311,-1.7,,,,,,,,,1.76,.329,0.609,121,92,4.76,1.6
9,NYM,0.081,0.269,.278,.315,.366,7.9,,,,,,,,,1.55,.257,0.776,116,150,6.43,0.5
6,MIN,0.065,0.176,.271,.304,.375,9.4,,,,,,,,,2.07,.364,0.506,175,144,5.09,0.6
5,TEX,0.082,0.295,.138,.328,.301,-3.7,,,,,,,,,1.65,.293,0.674,142,104,4.91,2.2
3,SD,0.124,0.227,.212,.248,.324,0.9,,,,,,,,,1.14,.288,0.72,77,103,4.42,2.5
1,SF,0.071,0.241,.105,.255,.253,-12.3,,,,,,,,,1.16,.333,0.794,58,75,2.99,2.0
2,CIN,0.065,0.267,.199,.248,.283,-6.9,,,,,,,,,1.63,.311,0.641,143,110,4.30,-0.2
2,LAD,0.143,0.18,.219,.320,.372,11.0,,,,,,,,,1.37,.137,0.833,154,139,5.96,2.4
2,ARI,0.05,0.222,.231,.331,.345,3.9,,,,,,,,,1.33,.259,0.864,126,113,4.52,-0.5
1,CLE,0.096,0.287,.168,.256,.276,-7.9,,,,,,,,,1.04,.190,0.917,124,89,3.94,-1.4
2,MIL,0.091,0.242,.234,.299,.348,5.7,,,,,,,,,0.77,.231,0.891,63,80,2.84,0.4
2,CHC,0.11,0.248,.197,.312,.346,5.6,,,,,,,,,0.91,.196,0.625,89,78,3.18,0.4
1,PHI,0.128,0.187,.163,.288,.323,0.7,,,,,,,,,1.43,.308,0.76,137,128,4.21,1.5
3,BAL,0.067,0.213,.137,.301,.297,-4.4,,,,,,,,,1.31,.312,0.652,76,99,4.35,0.2
4,LAA,0.133,0.168,.236,.262,.363,8.5,,,,,,,,,1.78,.286,0.559,140,118,5.22,2.4
1,MIA,0.083,0.284,.123,.243,.246,-10.8,,,,,,,,,1.63,.408,0.72,58,111,4.44,0.8
1,CWS,0.081,0.254,.148,.342,.320,0.1,,,,,,,,,1.28,.310,0.695,76,95,4.03,0.3
""
Score From 04/11/19,,Team Hitting Stats from 04/04/19-04/10/19,,,,,,Ill take care of this,,,,,,,Team Bullpen Stats From 04/04/19-04/10/19,,,,,,,Defense,Ill take care of these,,,,,,
Runs,Team,BB%,K%,ISO,BABIP,wOBA,wRAA,Expected IP,WHIP,BABIP,LOB,FIP-,xFIP-,SIERA,Expected IP,WHIP,BABIP,LOB%,FIP-,xFIP-,SIERA,DEF,Temp,Wind,In,Out,Across,Dome,Rain
8,OAK,0.072,0.147,.205,.308,.357,8.9,,,,,,,,,1.93,.329,0.596,182,138,5.20,-2.0
7,SEA,0.088,0.223,.272,.376,.411,20.6,,,,,,,,,1.67,.328,0.679,129,114,4.90,0.9
6,TOR,0.087,0.361,.099,.287,.243,-12.1,,,,,,,,,1.27,.306,0.672,91,101,4.12,0.4
4,CLE,0.114,0.265,.170,.260,.290,-5.5,,,,,,,,,1.18,.191,0.933,135,107,4.71,-1.5
7,LAD,0.129,0.187,.214,.304,.359,8.2,,,,,,,,,1.35,.149,0.867,167,141,5.64,2.6
7,SD,0.106,0.226,.214,.250,.321,0.1,,,,,,,,,1.84,.319,0.658,142,117,5.34,2.3
6,KC,0.072,0.224,.163,.287,.292,-5.4,,,,,,,,,1.54,.288,0.723,102,115,5.28,-4.6
