DATE,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,KC,STL,MIN,MIL,CHC,CWS,DET,CLE,CIN,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WAS,ATL,TB,MIA
5/27/2019,TEX,,LAA,NYM,OAK,NYY,COL,ARI,SEA,CHC,CWS,,MIL,MIN,HOU,KC,BAL,BOS,PIT,CIN,TB,CLE,SD,LAD,,DET,MIA,,TOR,WAS
5/28/2019,TEX,MIA,LAA,NYM,OAK,NYY,COL,ARI,SEA,CHC,CWS,PHI,MIL,MIN,HOU,KC,BAL,BOS,PIT,CIN,TB,CLE,SD,LAD,STL,DET,ATL,WAS,TOR,SF
5/29/2019,TEX,MIA,LAA,NYM,OAK,NYY,COL,ARI,SEA,CHC,CWS,PHI,,,HOU,KC,BAL,BOS,PIT,CIN,TB,CLE,SD,LAD,STL,DET,ATL,WAS,TOR,SF
5/30/2019,LAA,MIA,,NYM,SEA,,COL,ARI,KC,,TEX,PHI,TB,PIT,,CLE,,CWS,,MIL,,NYY,BOS,LAD,STL,,,,MIN,SF
5/31/2019,LAA,BAL,HOU,PHI,SEA,MIA,NYM,TOR,KC,OAK,TEX,CHC,TB,PIT,STL,CLE,ATL,CWS,WAS,MIL,COL,NYY,BOS,ARI,LAD,SF,CIN,DET,MIN,SD
6/1/2019,LAA,BAL,HOU,PHI,SEA,MIA,NYM,TOR,KC,OAK,TEX,CHC,TB,PIT,STL,CLE,ATL,CWS,WAS,MIL,COL,NYY,BOS,ARI,LAD,SF,CIN,DET,MIN,SD
6/2/2019,LAA,BAL,HOU,PHI,SEA,MIA,NYM,TOR,KC,OAK,TEX,CHC,TB,PIT,STL,CLE,ATL,CWS,WAS,MIL,COL,NYY,BOS,ARI,LAD,SF,CIN,DET,MIN,SD
6/3/2019,HOU,,,ARI,,PHI,LAD,,,SEA,,,,,,,,,,,,,,,SD,,,,,
6/4/2019,HOU,NYM,LAA,ARI,OAK,PHI,LAD,CHC,BAL,SEA,BOS,CIN,CLE,MIA,COL,WAS,TB,MIN,STL,ATL,NYY,KC,TOR,SF,SD,TEX,CWS,PIT,DET,MIL
6/5/2019,HOU,NYM,LAA,ARI,OAK,PHI,LAD,CHC,BAL,SEA,BOS,CIN,CLE,MIA,COL,WAS,TB,MIN,STL,ATL,NYY,KC,TOR,SF,SD,TEX,CWS,PIT,DET,MIL
6/6/2019,HOU,NYM,LAA,,OAK,WAS,,CHC,BAL,SEA,BOS,CIN,CLE,MIA,COL,,TB,MIN,STL,ATL,NYY,KC,TOR,SF,,TEX,SD,PIT,DET,MIL
6/7/2019,LAA,LAD,TEX,SF,SEA,WAS,TOR,NYM,OAK,BAL,CWS,CHC,DET,PIT,STL,KC,MIN,NYY,PHI,MIL,ARI,TB,CLE,COL,CIN,HOU,SD,MIA,BOS,ATL
6/8/2019,LAA,LAD,TEX,SF,SEA,WAS,TOR,NYM,OAK,BAL,CWS,CHC,DET,PIT,STL,KC,MIN,NYY,PHI,MIL,ARI,TB,CLE,COL,CIN,HOU,SD,MIA,BOS,ATL
6/9/2019,LAA,LAD,TEX,SF,SEA,WAS,TOR,NYM,OAK,BAL,CWS,CHC,DET,PIT,STL,KC,MIN,NYY,PHI,MIL,ARI,TB,CLE,COL,CIN,HOU,SD,MIA,BOS,ATL
6/10/2019,,,TB,LAA,LAD,,PHI,CHC,BOS,,,MIA,,,COL,WAS,,,,ATL,,TEX,NYM,NYY,ARI,,CWS,PIT,OAK,STL
6/11/2019,MIN,SD,TB,LAA,LAD,SF,PHI,CHC,BOS,MIL,DET,MIA,SEA,HOU,COL,WAS,KC,CIN,CLE,ATL,BAL,TEX,NYM,NYY,ARI,TOR,CWS,PIT,OAK,STL
6/12/2019,MIN,SD,TB,,,SF,PHI,CHC,BOS,MIL,DET,MIA,SEA,HOU,COL,,KC,CIN,CLE,ATL,BAL,TEX,,,ARI,TOR,,PIT,OAK,STL
6/13/2019,MIN,,,CHC,TB,COL,WAS,SD,BOS,,DET,NYM,SEA,,LAD,NYY,KC,,,ATL,BAL,TEX,CWS,STL,,TOR,ARI,PIT,LAA,
6/14/2019,OAK,MIL,SEA,CHC,TB,COL,WAS,SD,CIN,TOR,MIN,NYM,KC,SF,LAD,NYY,CLE,DET,TEX,MIA,HOU,BAL,CWS,STL,ATL,BOS,ARI,PHI,LAA,PIT
6/15/2019,OAK,MIL,SEA,CHC,TB,COL,WAS,SD,CIN,TOR,MIN,NYM,KC,SF,LAD,NYY,CLE,DET,TEX,MIA,HOU,BAL,CWS,STL,ATL,BOS,ARI,PHI,LAA,PIT
6/16/2019,OAK,MIL,SEA,CHC,TB,COL,WAS,SD,CIN,TOR,MIN,NYM,KC,SF,LAD,NYY,CLE,DET,TEX,MIA,HOU,BAL,CWS,STL,ATL,BOS,ARI,PHI,LAA,PIT
6/17/2019,KC,LAD,BAL,SF,TOR,MIL,,,CLE,CIN,SEA,MIA,BOS,SD,,,,TEX,HOU,,LAA,MIN,TB,ATL,WAS,OAK,PHI,NYM,NYY,STL
6/18/2019,KC,LAD,BAL,SF,TOR,MIL,COL,ARI,CLE,CIN,SEA,MIA,BOS,SD,CWS,CHC,PIT,TEX,HOU,DET,LAA,MIN,TB,ATL,WAS,OAK,PHI,NYM,NYY,STL
6/19/2019,KC,LAD,BAL,SF,TOR,MIL,COL,ARI,CLE,CIN,SEA,MIA,BOS,SD,CWS,CHC,PIT,TEX,HOU,DET,LAA,MIN,TB,ATL,WAS,OAK,PHI,NYM,NYY,STL
6/20/2019,BAL,LAD,TB,SF,TOR,,COL,ARI,CLE,NYY,MIN,MIA,KC,CIN,NYM,,,TEX,MIL,,LAA,,HOU,CHC,WAS,SEA,PHI,,OAK,STL
6/21/2019,BAL,ARI,TB,COL,STL,PIT,SF,LAD,CWS,NYY,MIN,LAA,KC,CIN,NYM,TEX,CLE,DET,MIL,SD,BOS,TOR,HOU,CHC,MIA,SEA,ATL,WAS,OAK,PHI
6/22/2019,BAL,ARI,TB,COL,STL,PIT,SF,LAD,CWS,NYY,MIN,LAA,KC,CIN,NYM,TEX,CLE,DET,MIL,SD,BOS,TOR,HOU,CHC,MIA,SEA,ATL,WAS,OAK,PHI
6/23/2019,BAL,ARI,TB,COL,STL,PIT,SF,LAD,CWS,NYY,MIN,LAA,KC,CIN,NYM,TEX,CLE,DET,MIL,SD,BOS,TOR,HOU,CHC,MIA,SEA,ATL,WAS,OAK,PHI
6/24/2019,,COL,,ARI,,,LAD,SF,,,CLE,,,,ATL,BOS,,KC,,,NYY,CWS,TOR,PHI,NYM,,,CHC,,
6/25/2019,MIL,COL,STL,ARI,CIN,BAL,LAD,SF,DET,PIT,CLE,OAK,TB,SEA,ATL,BOS,TEX,KC,LAA,HOU,NYY,CWS,TOR,PHI,NYM,SD,MIA,CHC,MIN,WAS
6/26/2019,MIL,COL,STL,ARI,CIN,BAL,LAD,SF,DET,PIT,CLE,OAK,TB,SEA,ATL,BOS,TEX,KC,LAA,HOU,NYY,CWS,TOR,PHI,NYM,SD,MIA,CHC,MIN,WAS
6/27/2019,MIL,,LAA,COL,OAK,,,LAD,DET,PIT,,,TB,SEA,ATL,,TEX,,,HOU,,,,PHI,NYM,,MIA,CHC,MIN,WAS
6/28/2019,HOU,ARI,LAA,COL,OAK,STL,SF,LAD,TB,SEA,TOR,SD,CWS,PIT,CIN,MIN,WAS,BAL,CHC,MIL,KC,,,ATL,MIA,CLE,DET,NYM,TEX,PHI
6/29/2019,HOU,ARI**,LAA,COL,OAK,STL,,LAD,TB,SEA,TOR,SD,CWS,PIT,CIN,MIN,WAS,BAL,CHC,MIL,KC,NYY,BOS,ATL,MIA,CLE,DET,NYM,TEX,PHI
6/30/2019,HOU,ARI,LAA,COL,OAK,STL,SF,LAD,TB,SEA,TOR,SD,CWS,PIT,CIN,MIN,WAS,BAL,CHC,MIL,KC,NYY,BOS,ATL,MIA,CLE,DET,NYM,TEX,PHI
7/1/2019,,SD,,,TEX,SF,,,LAA,,TOR,,,CIN,PIT,,,,MIL,CHC,KC,,,,,TB,,,BAL,
7/2/2019,STL,SD,MIN,ARI,TEX,SF,LAD,HOU,LAA,COL,CLE,SEA,OAK,CIN,PIT,DET,CWS,KC,MIL,CHC,BOS,TOR,NYM,NYY,ATL,TB,MIA,PHI,BAL,WAS
7/3/2019,STL,SD,MIN,ARI,TEX,SF,LAD,HOU,LAA,COL,CLE,SEA,OAK,CIN,PIT,DET,CWS,KC,MIL,CHC,BOS,TOR,NYM,NYY,ATL,TB,MIA,PHI,BAL,WAS
7/4/2019,STL,,MIN,SD,TEX,LAD,,,LAA,,CLE,SEA,OAK,CIN,PIT,DET,CWS,KC,MIL,CHC,BOS,TOR,TB,,ATL,,MIA,PHI,NYY,WAS
7/5/2019,OAK,STL,SEA,SD,HOU,LAD,COL,ARI,MIN,LAA,WAS,SF,TEX,PIT,,,BOS,,,MIL,BAL,DET,TB,PHI,NYM,TOR,KC,MIA,NYY,ATL
7/6/2019,OAK,STL,SEA,SD,HOU,LAD,COL,ARI,MIN,LAA,WAS,SF,TEX,PIT,CWS,CHC,BOS,CIN,CLE,MIL,BAL,DET,TB,PHI,NYM,TOR,KC,MIA,NYY,ATL
